epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.194,2.00591,2.08209,1.31944,0.49148,0.42502,0.42558,0.22603,1.83236,3.18775,1.2828,0.000548721,0.000548721,0.000548721
2,282.518,1.73434,1.43812,1.15241,0.42468,0.47292,0.40787,0.22327,1.69578,2.52551,1.18058,0.00104972,0.00104972,0.00104972
3,465.159,1.72968,1.40573,1.14956,0.50074,0.48109,0.46248,0.24188,1.72803,1.85043,1.17708,0.00149571,0.00149571,0.00149571
4,582.069,1.72111,1.39042,1.12955,0.49359,0.40931,0.42205,0.23615,1.70549,1.78253,1.18467,0.00141945,0.00141945,0.00141945
5,693.605,1.67857,1.33192,1.11015,0.47887,0.47888,0.46555,0.26092,1.63151,2.01827,1.11719,0.00133693,0.00133693,0.00133693
6,806.787,1.64712,1.2893,1.11323,0.6327,0.55154,0.61329,0.34724,1.59325,1.20604,1.11886,0.00125442,0.00125442,0.00125442
7,951.999,1.61138,1.26689,1.09385,0.68039,0.59025,0.66933,0.37639,1.55593,1.16061,1.09942,0.0011719,0.0011719,0.0011719
8,1057.65,1.60675,1.25206,1.092,0.66187,0.56791,0.64441,0.35306,1.63553,1.17588,1.10902,0.00108938,0.00108938,0.00108938
9,1178.63,1.58655,1.2437,1.08506,0.66164,0.57532,0.64957,0.37217,1.55007,1.16352,1.10775,0.00100687,0.00100687,0.00100687
10,1303.19,1.5864,1.23609,1.08037,0.72435,0.61004,0.70789,0.40802,1.52321,1.11397,1.08614,0.000924352,0.000924352,0.000924352
11,1410.75,1.53507,1.19896,1.07657,0.69453,0.61347,0.70147,0.4032,1.51833,1.09194,1.07865,0.000841835,0.000841835,0.000841835
12,1517.47,1.53368,1.19024,1.07942,0.73014,0.61014,0.72057,0.41552,1.51235,1.0855,1.08397,0.000759318,0.000759318,0.000759318
13,1628.24,1.52353,1.16968,1.07143,0.70882,0.62055,0.71129,0.40264,1.52028,1.16125,1.06558,0.000676802,0.000676802,0.000676802
14,1737.66,1.50827,1.16837,1.07183,0.71797,0.62763,0.72482,0.41465,1.51921,1.07907,1.07825,0.000594286,0.000594286,0.000594286
15,1849.21,1.49511,1.15517,1.06387,0.73239,0.64107,0.74025,0.43586,1.46862,1.0325,1.06063,0.000511769,0.000511769,0.000511769
16,1962.61,1.4793,1.12545,1.06203,0.73201,0.63846,0.73558,0.42869,1.49681,1.05197,1.06801,0.000429253,0.000429253,0.000429253
17,2083.07,1.46447,1.11168,1.05553,0.73869,0.64986,0.75093,0.44174,1.48195,1.02316,1.06138,0.000346736,0.000346736,0.000346736
18,2191.7,1.44758,1.09702,1.04554,0.75146,0.64643,0.75257,0.44701,1.44981,1.01644,1.05005,0.00026422,0.00026422,0.00026422
19,2306.36,1.44075,1.07405,1.04086,0.7439,0.65308,0.75797,0.44985,1.44995,1.00502,1.04604,0.000181703,0.000181703,0.000181703
20,2413.13,1.42732,1.06864,1.03992,0.75091,0.65846,0.76274,0.4555,1.42902,0.9771,1.0428,9.91865e-05,9.91865e-05,9.91865e-05
